vin_number;registration_plate;brand;model;mileage
tnXiCKnAzg;y453ZU91;Nissan;Armada;262894
XbEDBrglyw;q544ep49;Maserati;Levante;607588
USnoIwUrjP;m646Vm85;Mercedes-Benz;GLC;167012
pfeVudHvFI;l105up76;Volvo;V90;832493
vzHBvmZtUE;q613FU52;Chevrolet;Cruze;556727
avuCmaqIXQ;d124cg52;Lexus;LS;663649
bOliJTwwjj;N529Er55;Honda;Pilot;204354
BmMWQHaTVx;x618CJ88;Lexus;LC;564020
AOnicEuVnN;o657sp48;Maserati;MC20;175900
KkQcwtNGLr;M348cR91;Rolls-Royce;Phantom;108479
mODXUCoNvS;y724KB33;Lexus;NX;217641
aMFDIIZFsA;Y994FX67;Ford;Focus;15404
FZVwEWdOvj;r846vl54;Ferrari;SF90 Stradale;949740
wftcoSodMx;x241rx95;Kia;Forte;929184
BBsRHahSKX;E399TR47;BMW;X3;341042
IBNdRAZxsm;V489Uj11;Cadillac;CT5;349355
ScUJQISoxQ;I259af17;Audi;A3;400052
NZyjoYKaoD;H618ol15;Maserati;MC20;470818
OWSoHpzabQ;q874OE73;Lexus;GX;697914
ENYnpGCwDj;V973Uh77;Mazda;Mazda3;174024
IkyCHnARMy;L236On16;Hyundai;Kona;735357
XjYKSGOOYP;m147gD73;Aston Martin;One-77;906381
YVKwZSCSUp;q337KY89;Nissan;Rogue;731593
dCuwQSeaqg;W674Km14;Mazda;CX-3;723040
nCWyaYnERq;t161xc66;Toyota;Camry;163087
LtNrAZAYik;v368Ju59;Cadillac;CT4;626185
jNFFBlXqUy;N646us97;Dodge;Grand Caravan;309814
iwKpHmDdcN;m457DS27;Skoda;Fabia;926528
TmTyngGqik;d683Tq68;Skoda;Rapid;771022
ZFQjpZOJxb;l289WI69;Ferrari;Enzo;513888
jKBLfIFoeV;f191yY55;Kia;Soul;266269
NwsdvwdIrG;v352vH58;McLaren;F1;47625
qDqIxhyWnK;i543Dn98;Porsche;911;246467
juOtcAHYOE;d228UL22;Toyota;Sienna;160980
tlYIvdFPVK;i898NL19;Porsche;Cayman;798667
tEzQvQEglS;d464jq21;Hyundai;Accent;922577
NvaIZbncaz;c395xk93;Lexus;UX;348323
TzuItdPOVd;A980Nj94;Fiat;Punto;305939
lBnfRfaInU;B161Jf17;Lexus;NX;290795
qzyJmAJbpo;g813jQ86;Maserati;Quattroporte;331929
uplyMOAsIx;g110Yy88;BMW;X5;967991
QfSbEjGOqA;a787yM60;Tesla;Model S;232121
JBqqWIOLgo;g841cp65;Jeep;Gladiator;803803
SMrRACxCDk;y635nC23;Porsche;Macan;755677
RVolJlnhwJ;G193GW39;BMW;X5;642180
raxkQAmUAz;R732bI65;Nissan;Versa;153339
nHyzszwXGc;j478jC47;Cadillac;XT5;595151
OxhQKiKFCv;E742Cj75;Mitsubishi;Lancer;694231
QRNKshQMGm;C166dh91;Dodge;Durango;999369
TaVNGosPZU;X944rd58;Fiat;Panda;409649
UdAEegOVBW;r780Pv97;Porsche;911;585282
LjUSXtXYBu;q688Oj99;Skoda;Karoq;288671
NGtSuWovwi;D162eG82;Renault;Megane;895501
YwXlslIIRJ;V395vu38;Porsche;Cayenne;945540
IwCPECTmPy;T446VH53;Dodge;Ram 1500;512879
HyVzAQbMax;n431UM59;Tesla;Model X;830152
gtKDdgLccH;I473Ou80;Fiat;Punto;969023
VDiSHckOrM;o448ZG48;Bentley;Bentayga;952066
UDoCRqJRuX;V129Cd22;Lincoln;Nautilus;329973
XHpnTgBAvy;W734oY64;Volvo;V60;727700
lQwTUtyHxH;O328eP46;Aston Martin;DB11;918799
fWFAtBqiKA;s137Cs84;Renault;Clio;663616
XuLgjWfOcZ;f150Iz14;Volvo;XC90;879360
ZSVpcehpkV;J308nF31;Dodge;Dart;616964
TgGNwANyYZ;f492dw98;Skoda;Kodiaq;120652
esRjgmTPlg;i309yf12;Cadillac;CT4;504585
vxFqjckFdo;y153hY12;Mitsubishi;Eclipse Cross;359500
sDBtbQVSVK;w498Ot63;Volvo;XC60;657642
qtIbUtIYrp;w198Ng12;Toyota;4Runner;112657
FsmWeEqEob;R174sT28;Lexus;LC;161552
WpmBmhkEWF;a486Wn43;Dodge;Neon;289563
IvBYbZOQfo;t323pM44;Lamborghini;Aventador;381806
CpxUcoIzqT;u443cs26;Fiat;Doblo;264827
MRnioxHgwd;Q936Cd72;Tesla;Cybertruck;105048
GbDRJbmaVr;d575IQ99;Bugatti;Centodieci;898723
WuuiXywVwW;Y436cI38;Volvo;XC70;397059
TaNFUKGpSp;K400yJ74;Nissan;Murano;845531
wMTEyqMHwd;l789mn74;Bugatti;Veyron;652312
TCJjpCZcvt;f857zT35;Kia;Niro;877984
ZBaDYIEinz;K519dp35;Cadillac;CT4;696025
OLSCPsyBiv;F549JF38;Honda;CR-V;339096
nIaZNVlpkI;Q949bW53;Kia;Rio;992529
zYCrdeDXrj;O538IG14;Bugatti;Divo;669510
tIueggRgHC;p626Fh72;Honda;Accord;726019
VatdyDoMfO;J270tD26;Honda;Ridgeline;658726
OhrlCpIZWx;V914Zp99;Chevrolet;Impala;833792
NvDNqNtmPX;r506PG85;Aston Martin;DBS Superleggera;839072
IUdABYyBuO;z612IC14;Rolls-Royce;Dawn;544258
krozwVVJPD;l546UN37;Hyundai;Sonata;139259
qssBnnFAEd;l357WO69;Honda;Insight;18887
