trip_id;driver_id;passenger_id;payment_id;source_adress;destenation_adress;price;score
89933;5460;2683;2;Taj Mahal, Agra, India 282001;Table Mountain Rd, Cape Town, South Africa 8001;1385;5
57233;9240;788;663;Shibuya Crossing 2, Tokyo, Japan 150-0043;CN Tower 301, Toronto, Canada M5V 2T6;4570;4
80727;505;6384;944;Burj Khalifa 1, Dubai, UAE;789 Pine Road, Chicago, IL 60601;2245;2
97843;5474;5510;608;CN Tower 301, Toronto, Canada M5V 2T6;Gyeongbokgung Palace 161, Seoul, South Korea 03045;3497;4
3037;5005;4125;86;Brandenburger Tor 1, Berlin, Germany 10117;753 Willow Avenue, San Diego, CA 92101;4245;4
34404;3943;513;93;Taj Mahal, Agra, India 282001;555 Mountain Street, Washington, DC 20001;3487;5
5181;2762;1141;892;123 Main Street, New York, NY 10001;Gyeongbokgung Palace 161, Seoul, South Korea 03045;2766;3
31169;5138;7877;958;654 Maple Drive, Phoenix, AZ 85001;444 Lake View, Denver, CO 80201;1630;4
49964;9106;3639;410;246 Spruce Road, Dallas, TX 75201;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;2692;4
93342;3460;8578;621;Red Square 1, Moscow, Russia 109012;864 Palm Drive, San Jose, CA 95101;1887;3
53637;981;1964;306;555 Mountain Street, Washington, DC 20001;Red Square 1, Moscow, Russia 109012;4706;2
28265;4254;8307;983;Marina Bay Sands 10, Singapore 018956;Sydney Opera House, Sydney, Australia 2000;3970;2
92021;3667;9534;572;Marina Bay Sands 10, Singapore 018956;Sydney Opera House, Sydney, Australia 2000;3403;2
98272;6025;6652;297;Sydney Opera House, Sydney, Australia 2000;Champs-Élysées 75, Paris, France 75008;4300;2
59065;7810;3244;380;321 Elm Boulevard, Houston, TX 77001;444 Lake View, Denver, CO 80201;3777;5
30519;7027;6504;67;246 Spruce Road, Dallas, TX 75201;Sydney Opera House, Sydney, Australia 2000;2333;5
33699;3352;5811;196;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;Taj Mahal, Agra, India 282001;1571;4
5520;6311;9533;601;864 Palm Drive, San Jose, CA 95101;Brandenburger Tor 1, Berlin, Germany 10117;2490;5
3007;7986;7133;895;Table Mountain Rd, Cape Town, South Africa 8001;444 Lake View, Denver, CO 80201;4322;4
25241;5268;8486;880;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;Taj Mahal, Agra, India 282001;4965;4
7253;2817;103;294;123 Main Street, New York, NY 10001;Red Square 1, Moscow, Russia 109012;2319;2
36055;723;3855;814;Table Mountain Rd, Cape Town, South Africa 8001;CN Tower 301, Toronto, Canada M5V 2T6;3744;5
61929;691;8040;990;444 Lake View, Denver, CO 80201;Sagrada Família 401, Barcelona, Spain 08013;4266;3
65245;6999;8599;194;Gyeongbokgung Palace 161, Seoul, South Korea 03045;Sagrada Família 401, Barcelona, Spain 08013;1349;4
21239;7744;7132;807;Burj Khalifa 1, Dubai, UAE;321 Elm Boulevard, Houston, TX 77001;3098;5
69734;3618;5271;585;789 Pine Road, Chicago, IL 60601;Taj Mahal, Agra, India 282001;2034;2
64565;9861;8619;331;Table Mountain Rd, Cape Town, South Africa 8001;Burj Khalifa 1, Dubai, UAE;1262;2
2082;7523;5127;324;555 Mountain Street, Washington, DC 20001;Table Mountain Rd, Cape Town, South Africa 8001;3974;5
46999;7526;960;365;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;753 Willow Avenue, San Diego, CA 92101;3464;2
82745;3433;1934;746;CN Tower 301, Toronto, Canada M5V 2T6;444 Lake View, Denver, CO 80201;1201;4
92825;8303;1373;684;123 Main Street, New York, NY 10001;Copacabana Beach 100, Rio de Janeiro, Brazil 22070-011;2795;5
6757;1016;1425;357;Forbidden City 4, Beijing, China 100006;Forbidden City 4, Beijing, China 100006;1432;3
75975;5059;4937;507;Sagrada Família 401, Barcelona, Spain 08013;789 Pine Road, Chicago, IL 60601;2595;5
