id,vin_number,registration_plate,brand,model,mileage
1001,66E6C85W9X,G281JD85,Kia,Rio,682237
1002,4G8P4WOZR9,T820UI32,Dodge,Grand Caravan,431829
1003,H9GCD4VVP6,N723LI84,Tesla,Model 3,454404
1004,G6BBX4J8F5,Z633TA58,Volkswagen,Atlas,314464
1005,RQR3OOQLND,C586LX33,Lamborghini,Urus,586177
1006,M2SHUJIED0,R691OC71,Volkswagen,Polo,270752
1007,0GL3EZ9O1Z,Q601ES18,Peugeot,508,712935
1008,GCG4HZ3Y3G,P414EG93,Fiat,Bravo,450562
1009,42NE5Q196V,V470BW95,Volkswagen,Golf,717041
1010,KQ9QOCE26O,D385WY97,Lamborghini,Huracan,197323
